761404,13736,3019665,,,888,02,Delete,01,0
761404,17129,3014389,,,888,02,Delete,01,0
761404,30077,3019218,,,888,02,Delete,01,0
761404,20121,3012539,,,888,02,Delete,01,0
761404,13274,3021546,,,888,02,New,01,0
761404,9449,3021548,,,888,02,New,01,0
761404,31680,3021523,,,888,02,Delete,01,0
761404,31539,3020379,,,888,02,Delete,01,0
761404,31539,3020379,,,888,02,Delete,01,0
761404,29588,3021563,,,888,02,New,01,0
761404,29588,3018807,,,888,02,Delete,01,0
761404,23538,3019437,,,888,02,Delete,01,0
761404,31933,3021566,,,888,02,New,01,0
